,solutions opt,solutions linear,solutions lgr,solutions asc,times opt,times linear,times lgr,times asc,dimention
0,1135822.0,1135822.0,347599.0,6875741,65,36,40,0,11
1,1236020.0,1236020.0,186639.0,5219330,51,60,42,0,13
2,1347692.0,1347692.0,334314.0,9524295,39,50,37,1,15
3,1765665.0,1765665.0,370427.0,7885446,67,56,17,0,17
4,1633952.0,1633952.0,632820.0,8474632,55,59,33,0,19
5,3270339.0,3171642.0,459542.0,13070201,72,52,22,0,21
6,2123952.0,2105112.5,369533.0,10457700,66,50,39,1,23
7,2603370.0,2603370.0,301732.0,10392407,60,50,30,1,25
8,2096316.0,2096316.0,267590.0,13323114,41,65,13,0,27
9,2446978.0,2446978.0,637600.0,14949503,54,49,40,0,29
10,2786617.0,2786617.0,339510.0,18468310,45,51,30,1,31
11,2068051.0,2068051.0,440234.0,14643729,54,52,12,0,33
12,2530369.0,2530369.0,347505.0,17204626,61,48,27,1,35
13,2869498.0,2869498.0,382319.0,19866837,60,63,46,0,37
14,2156237.0,2156237.0,484761.0,18449782,49,50,28,0,39
15,3017351.0,3017351.0,401784.0,22534446,49,63,5,0,41
16,2834381.0,2834381.0,426355.0,23328531,48,49,12,1,43
17,3480634.0,3480634.0,476341.0,26993251,53,62,13,1,45
18,2848299.0,2848299.0,527315.0,24174752,46,49,31,1,47
19,3613010.0,3613010.0,412179.0,24874520,44,54,18,1,49
20,3486658.0,3473625.5,615834.0,26237907,60,51,30,1,51
21,2926477.0,2920562.9999999995,483924.0,26479945,57,51,12,1,53
22,2614566.0,2614566.0,257462.0,22109030,46,63,8,0,55
23,3822418.0,3822418.0,686777.0,31428908,64,68,15,1,57
24,2659935.0,2659935.0,535458.0,27409240,58,69,19,1,59
25,3378501.0,3378501.0,522287.0,32874275,39,64,24,1,61
26,3615717.0,3615717.0,410257.0,29825968,60,75,22,2,63
27,4278245.0,4278245.0,518462.0,36060506,57,51,18,2,65
28,2668206.0,2668206.0,523187.0,28974065,55,50,21,0,67
29,3563817.0,3529681.5,439750.0,34200532,84,65,15,0,69
30,3309058.0,3309058.0,513165.0,36182004,68,64,17,0,71
31,3167279.0,3167279.0,409562.0,37690716,65,68,13,1,73
32,3690032.0,3690032.0,482053.0,40477919,55,55,17,3,75
33,3306344.0,3306344.0,460678.0,38173993,55,68,16,1,77
34,2816903.0,2816903.0,308452.0,36080724,45,49,7,1,79
35,4313500.0,4313500.0,522170.0,41961432,63,53,12,1,81
36,2601867.0,2601867.0,385918.0,33594930,56,55,10,1,83
37,3868588.0,3864933.0,608148.0,39565040,67,51,16,4,85
38,4358934.0,4358934.0,459855.0,45882389,71,63,10,0,87
